ids,cpl1,cpl2,cpl3,cpl4,cpl5,cpl6,cpl7,cpl8
132,8.53857,10.6676,11.0944,1.08647e-08,4.54068,0.00187464,0.0018791,0.0662383
133,8.27094,10.3621,10.8706,1.06794e-08,4.09128,0.00434947,0.00106211,0.0734823
134,8.25353,10.3088,11.1441,1.0821e-08,4.25837,0.00447433,0.00114277,0.0805834
135,8.3934,10.4404,10.2028,1.05713e-08,4.75548,0.00166324,0.000466263,0.0657718
136,8.46975,10.6202,11.0883,1.06903e-08,4.01598,0.00716534,0.00147107,0.0556045
137,8.35647,10.4703,11.5981,1.03936e-08,4.21056,0.00247596,0.000410381,0.0607786
138,8.25931,10.3168,11.2698,1.08223e-08,4.26163,0.00478756,0.00103029,0.0772171
139,8.35766,10.3566,8.66797,1.07827e-08,5.15766,0.0019585,0.00161422,0.0879614
140,8.36049,10.356,8.65273,1.07872e-08,5.19913,0.00187586,0.0016605,0.088779
141,8.42152,10.5525,11.7233,1.01391e-08,4.36784,0.00118844,0.00100764,0.0421221
142,8.17397,10.1649,9.86544,1.02929e-08,4.66471,0.00397366,0.000479961,0.0366808
143,8.22864,10.2789,11.122,1.0435e-08,4.07412,0.00819452,0.0003018,0.0789015
144,8.23585,10.2635,9.83096,1.03076e-08,4.59068,0.00374454,0.00137985,0.0373146
145,8.3897,10.3905,8.56412,1.08628e-08,5.22208,0.00194535,0.00189296,0.0870799
146,8.27029,10.3415,11.4841,1.04478e-08,3.89008,0.00839911,0.000220666,0.0773962
147,8.41672,10.4849,11.0622,1.0213e-08,4.48225,0.0048044,0.00219621,0.049288
148,8.44378,10.5257,9.82866,1.06178e-08,4.39034,0.00620758,0.0015969,0.0568988
149,8.40582,10.5822,11.0565,1.04257e-08,3.64562,0.00742522,0.00108918,0.0629109
150,8.59175,10.7319,10.0082,1.0356e-08,4.66041,0.00165266,0.00426782,0.0936094
151,8.23785,10.2695,11.1807,1.08435e-08,4.40241,0.0048715,0.00171445,0.0830154
152,8.42467,10.6242,12.4895,1.03751e-08,3.78942,0.00368193,0.000881872,0.0635303
153,8.42267,10.5871,10.8553,1.0416e-08,3.92268,0.00529734,0.00120626,0.0779833
154,8.51775,10.6239,10.8993,1.07383e-08,4.51497,0.00425138,0.00198281,0.0788557
155,8.69382,10.9185,11.076,1.04434e-08,4.31397,0.00164994,0.0031039,0.071954
156,8.61639,10.8704,9.3037,1.06103e-08,4.08212,0.00133694,0.00252656,0.0674285
157,8.33558,10.4913,9.80727,1.0318e-08,3.94917,0.00316637,0.000510457,0.0549621
158,8.3877,10.3787,8.29217,1.08636e-08,5.27634,0.00183033,0.00197621,0.0892015
159,8.19128,10.1777,10.777,1.08861e-08,4.66944,0.00351735,0.000561257,0.0900408
160,8.1542,10.1136,9.30991,1.02516e-08,5.02025,0.00149863,9.07386e-06,0.100485
161,8.51316,10.5918,8.47807,1.07448e-08,4.90002,0.00238647,0.00224976,0.0735215
162,8.69399,11.0042,11.7902,1.06173e-08,3.75991,0.00251886,0.00166182,0.0653929
163,8.50673,10.5829,10.1913,1.0855e-08,4.86579,0.00148643,0.00094313,0.072539
164,8.4717,10.6905,11.4381,1.06446e-08,4.04042,0.00115961,0.00328031,0.0560401
165,8.36895,10.4137,10.77,1.08115e-08,4.64433,0.00370056,0.00126467,0.0846154
166,8.41541,10.6563,11.1702,1.01837e-08,3.57216,0.00286876,3.08981e-05,0.076585
167,8.45308,10.6462,10.9717,1.06364e-08,3.79074,0.00436271,0.00109136,0.0610014
168,8.5431,10.7106,10.1857,1.07619e-08,4.22275,0.00276908,0.001392,0.0926021
169,8.43592,10.6301,12.4654,1.02245e-08,3.96519,0.00101779,0.000194758,0.0545267
170,8.19359,10.184,10.7095,1.08708e-08,4.64172,0.00355461,0.000543546,0.0884383
171,8.59257,10.7805,10.6898,1.04051e-08,4.27829,0.00279002,0.0034028,0.0566401
172,8.34368,10.4222,10.7534,1.0405e-08,4.44976,0.00411992,0.00256228,0.0887069
173,8.58417,10.7727,11.3464,1.06961e-08,4.28357,0.00177304,0.00111535,0.0641783
174,8.20195,10.243,10.527,1.04565e-08,4.35443,0.00420731,0.000992457,0.0890422
175,8.33524,10.454,9.56434,1.06718e-08,4.08407,0.00449422,0.000867127,0.0563678
176,8.49465,10.5867,11.0977,1.07529e-08,4.72247,0.00170576,0.000762369,0.0567724
177,8.20743,10.1942,10.656,1.08835e-08,4.69072,0.0035537,0.00061123,0.0887731
178,8.42236,10.4928,11.3121,1.05466e-08,4.74991,0.00252008,0.00208414,0.0478674
179,8.57313,10.7203,8.94542,1.06241e-08,4.61166,0.00235627,0.00293113,0.0676527
180,8.47236,10.6587,11.5966,1.04259e-08,4.01411,0.0029805,0.000919503,0.0546149
181,8.57983,10.7168,11.5967,1.08225e-08,4.46486,0.00301739,0.00178656,0.0648317
182,8.23599,10.3061,9.0912,1.05771e-08,4.05848,0.00427281,6.44991e-05,0.055232
183,8.20766,10.2008,10.704,1.08558e-08,4.63658,0.00375335,0.00059302,0.0880847
184,8.19006,10.1712,10.5772,1.08565e-08,4.69825,0.00369631,0.000941073,0.0867894
185,8.3652,10.4059,10.4831,1.05032e-08,4.69441,0.0031597,0.00098464,0.0400925
186,8.3677,10.4825,10.5907,1.0863e-08,4.34109,0.00303506,0.00310043,0.0952721
187,8.34499,10.4999,11.1901,1.04967e-08,3.97787,0.0031159,0.000368249,0.0782669
188,8.4643,10.5978,11.6288,1.08074e-08,4.25673,0.00339836,0.000957289,0.0620682
189,8.47312,10.5486,9.59842,1.03012e-08,4.6265,0.0052282,0.00281975,0.0875701
190,8.30351,10.3663,10.5549,1.06551e-08,4.28342,0.00553896,0.00127882,0.0834258
191,8.60057,10.7618,11.8623,1.08242e-08,4.26728,0.00460964,0.00241682,0.0733903
192,8.34016,10.3598,10.5063,1.05163e-08,4.74932,0.00316584,0.000408512,0.0393972
193,8.54179,10.6309,9.5324,1.03374e-08,4.75797,0.00270871,0.00322784,0.102534
194,8.58708,10.714,11.1571,1.08222e-08,4.6114,0.00177425,0.00158099,0.0699369
195,8.34369,10.3447,10.646,1.05203e-08,4.85633,0.0033722,0.000433359,0.0386034
196,8.56429,10.6888,10.8613,1.08596e-08,4.54974,0.0031286,0.00168384,0.0671435
197,8.49434,10.6333,11.4203,1.08552e-08,4.31553,0.00246137,0.000860099,0.0605881
198,8.68029,11.0515,10.6492,1.0604e-08,3.61181,0.00044165,0.00265768,0.0609389
199,8.55725,10.6392,11.0366,1.08767e-08,4.8715,0.00199307,0.00177892,0.0620649
200,8.44226,10.5635,11.6186,1.07598e-08,4.28828,0.00433449,0.0016282,0.0817883
201,8.59576,10.7073,11.0008,1.08608e-08,4.80587,0.00192799,0.00224767,0.0628665
202,8.5596,10.8296,10.8395,1.01991e-08,3.82435,0.00217399,0.003414,0.0563262
203,8.46202,10.6303,10.7058,1.05952e-08,4.29783,0.00116433,0.000961259,0.0727707
204,8.48663,10.6347,11.2269,1.07157e-08,4.14082,0.00447936,0.00131994,0.0810111
205,8.57182,10.7094,12.328,1.06577e-08,4.50358,0.00234718,0.00219677,0.0497638
206,8.49392,10.6277,11.3677,1.08394e-08,4.28718,0.00361393,0.00127224,0.0624789
207,8.52189,10.6753,10.3632,1.03956e-08,4.4058,0.0023485,0.00113916,0.0483249
208,8.39937,10.535,11.0289,1.0463e-08,4.14748,0.00332726,0.00155075,0.073091
209,8.5063,10.7015,11.9533,1.05211e-08,4.01454,0.00358105,0.00159328,0.0532947
210,8.50019,10.6376,11.3961,1.08555e-08,4.34383,0.00243058,0.000940176,0.0607196
211,8.35865,10.4252,11.2237,1.07943e-08,4.60474,0.00386044,0.00299399,0.0751572
212,8.39699,10.5609,12.4472,1.01786e-08,3.98784,0.00173541,0.000162483,0.0562576
213,8.35498,10.4604,10.8209,1.04108e-08,4.3252,0.00373906,0.00240127,0.0833658
214,8.36225,10.4997,9.43401,1.05269e-08,4.1735,0.00272719,0.00241989,0.0833381
215,8.35748,10.4776,10.4953,1.01786e-08,4.25705,0.00326329,0.00143486,0.0564931
216,8.31943,10.3605,10.3671,1.06932e-08,4.62256,0.00239598,0.00142653,0.0717307
217,8.44831,10.5921,11.3433,1.07252e-08,4.17751,0.00287866,0.000958907,0.0625491
218,8.47881,10.595,11.9116,1.0553e-08,4.17772,0.00827449,0.00146581,0.0951097
219,8.23579,10.3057,9.12339,1.05809e-08,4.05491,0.00435467,6.8411e-05,0.0554045
220,8.31161,10.3805,10.812,1.03916e-08,4.34276,0.00385439,0.000817673,0.0519141
221,8.19366,10.1676,10.5765,1.08924e-08,4.74602,0.0033978,0.000486462,0.0895922
222,8.57956,10.699,11.5822,1.05317e-08,4.70678,0.00208922,0.00208584,0.0444968
223,8.34637,10.5282,9.93492,1.05886e-08,3.57753,0.00620716,0.000458616,0.0535088
224,8.17568,10.1453,10.2262,1.08701e-08,4.56492,0.0072738,0.000603188,0.0840821
225,8.28686,10.3031,9.69716,1.04286e-08,4.80672,0.00242692,0.00027544,0.0952277
226,8.48574,10.6688,11.1069,1.0762e-08,4.13789,0.00195462,0.00072598,0.0558711
227,8.2281,10.273,9.62648,1.05449e-08,4.60181,0.00103479,0.00136303,0.10777
228,8.43064,10.5883,10.6365,1.01365e-08,3.88392,0.00736719,0.00202511,0.0591526
229,8.2935,10.3931,9.87046,1.0544e-08,4.01228,0.00403964,0.000475021,0.0548219
230,8.45531,10.5436,10.8557,1.07958e-08,4.26536,0.00757044,0.000669986,0.0931321
231,8.3426,10.3359,10.6022,1.05232e-08,4.8887,0.0034809,0.000436258,0.0377879
232,8.40115,10.4883,12.3287,1.06585e-08,4.33718,0.00660966,0.00164346,0.0738796
233,8.51045,10.639,10.1116,1.08451e-08,4.34981,0.00438656,0.0013523,0.0950686
234,8.39154,10.4236,10.6117,1.05254e-08,4.79309,0.00333031,0.000746772,0.0379566
235,8.20295,10.2238,11.796,1.09381e-08,3.94836,0.0111858,0.000513517,0.0765628
236,8.45654,10.56,9.72687,1.02677e-08,4.37278,0.00417356,0.0027287,0.0569763
237,8.186,10.1658,10.382,1.08615e-08,4.48507,0.00786927,0.000824072,0.0844182
238,8.25928,10.2967,10.1515,1.02323e-08,4.37904,0.00627832,0.00117536,0.0897863
239,8.53132,10.5919,10.7028,1.08994e-08,4.70853,0.00517031,0.000913333,0.101866
240,8.25885,10.3456,11.7257,1.07e-08,3.85623,0.0085614,0.000453889,0.0781452
241,8.48351,10.6669,11.1078,1.07526e-08,4.12331,0.00208498,0.000740756,0.056181
242,8.39316,10.4103,10.4478,1.05789e-08,5.04835,0.000989919,0.000280123,0.0290705
243,8.38233,10.6009,11.4868,1.06862e-08,3.51063,0.00508693,0.00102621,0.064445
244,8.15646,10.1284,10.1665,1.08677e-08,4.57696,0.00561945,0.000311864,0.0813047
245,8.56433,10.8231,12.2396,1.081e-08,3.82288,0.00332329,0.00233893,0.0579677
246,8.40882,10.4416,10.4107,1.05982e-08,4.99857,0.000969572,0.000773132,0.0298317
247,8.40395,10.4685,11.5789,1.04951e-08,4.79317,0.00105753,0.00347816,0.0602712
248,8.47956,10.6578,11.1056,1.07557e-08,4.12618,0.00252604,0.000744342,0.0569735
249,8.26431,10.3487,11.5754,1.07889e-08,4.23516,0.00376266,0.000525189,0.0850371
250,8.51822,10.6013,9.82553,1.03808e-08,4.77336,0.00258697,0.00286101,0.103195
251,8.40487,10.5822,10.4706,1.08729e-08,4.17246,0.00104333,0.00295845,0.0868059
252,8.34727,10.4356,10.557,1.0579e-08,4.46566,0.00235837,0.00127585,0.0705179
253,8.34064,10.5092,11.0405,1.04827e-08,3.97396,0.00186877,0.000403199,0.0587298
254,8.15638,10.1282,10.1718,1.08675e-08,4.57938,0.00564575,0.000342282,0.081231
255,8.3716,10.6342,9.01426,1.0366e-08,3.53633,0.0009324,0.00118699,0.051678
256,8.46881,10.5951,11.0065,1.08796e-08,4.47703,0.00172123,0.000352683,0.0541111
257,8.10559,10.0244,9.51046,1.09045e-08,4.74104,0.00652837,0.00025204,0.0794499
258,8.44408,10.5574,10.7039,1.05269e-08,4.47731,0.00138785,0.00134357,0.0544267
